vendor,model,year,prod_qty,sales_qty,eff_class
晶工(JINKON),JD6723,2019,800.0,1244.0,3
晶工(JINKON),JD6723,2020,,,3
晶工(JINKON),JD6723,2021,,,3
晶工(JINKON),JD6718,2019,900.0,1134.0,3
晶工(JINKON),JD6718,2020,,,3
晶工(JINKON),JD6718,2021,,,3
晶工(JINKON),JD6712,2019,0.0,0.0,3
晶工(JINKON),JD6712,2020,,,3
晶工(JINKON),JD6712,2021,,,3
晶工(JINKON),JD6721,2019,0.0,0.0,3
晶工(JINKON),JD6721,2020,,,3
晶工(JINKON),JD6721,2021,,,3
晶工(JINKON),JD6607,2019,1200.0,1399.0,3
晶工(JINKON),JD6607,2020,,,3
晶工(JINKON),JD6607,2021,,,3
晶工(JINKON),JD6726,2019,900.0,961.0,3
晶工(JINKON),JD6726,2020,,,3
晶工(JINKON),JD6726,2021,,,3
晶工(JINKON),JD6725,2019,0.0,0.0,3
晶工(JINKON),JD6725,2020,,,3
晶工(JINKON),JD6725,2021,,,3
晶工(JINKON),JD6211,2019,0.0,0.0,3
晶工(JINKON),JD6211,2020,,,3
晶工(JINKON),JD6211,2021,,,3
晶工(JINKON),JD6206,2019,2600.0,2044.0,3
晶工(JINKON),JD6206,2020,,,3
晶工(JINKON),JD6206,2021,,,3
晶工(JINKON),JD6207,2019,,,3
晶工(JINKON),JD6207,2020,,,3
晶工(JINKON),JD6207,2021,,,3
晶工(JINKON),JD6726,2019,,,3
晶工(JINKON),JD6726,2020,,,3
晶工(JINKON),JD6726,2021,,,3
晶工(JINKON),JD6211,2019,,,3
晶工(JINKON),JD6211,2020,,,3
晶工(JINKON),JD6211,2021,,,3
晶工(JINKON),JD6712,2019,,,3
晶工(JINKON),JD6712,2020,,,3
晶工(JINKON),JD6712,2021,,,3
晶工(JINKON),JD6718,2019,,,3
晶工(JINKON),JD6718,2020,,,3
晶工(JINKON),JD6718,2021,,,3
晶工(JINKON),JD6206,2019,,,3
晶工(JINKON),JD6206,2020,,,3
晶工(JINKON),JD6206,2021,,,3
晶工(JINKON),JD6723,2019,,,3
晶工(JINKON),JD6723,2020,,,3
晶工(JINKON),JD6723,2021,,,3
晶工(JINKON),JD6607,2019,,,3
晶工(JINKON),JD6607,2020,,,3
晶工(JINKON),JD6607,2021,,,3
晶工(JINKON),JD6621,2019,,,3
晶工(JINKON),JD6621,2020,,,3
晶工(JINKON),JD6621,2021,,,3
晶工(JINKON),JD6721,2019,,,3
晶工(JINKON),JD6721,2020,,,3
晶工(JINKON),JD6721,2021,,,3
大家源,TCY563701,2019,0.0,0.0,5
大家源,TCY563701,2020,,,5
大家源,TCY563701,2021,,,5
元山,YS9980DWI,2019,0.0,5.0,2
元山,YS9980DWI,2020,,,2
元山,YS9980DWI,2021,,,2
晶工(JINKON),JD8508,2019,,,2
晶工(JINKON),JD8508,2020,,,2
晶工(JINKON),JD8508,2021,,,2
晶工(JINKON),JD8507,2019,,,2
晶工(JINKON),JD8507,2020,,,2
晶工(JINKON),JD8507,2021,,,2
晶工(JINKON),JD8305,2019,,,2
晶工(JINKON),JD8305,2020,,,2
晶工(JINKON),JD8305,2021,,,2
蘋果,AP9061,2019,0.0,0.0,5
蘋果,AP9061,2020,,,5
蘋果,AP9061,2021,,,5
蘋果,AP9068,2019,0.0,0.0,5
蘋果,AP9068,2020,,,5
蘋果,AP9068,2021,,,5
晶工(JINKON),JD6207,2019,800.0,905.0,3
晶工(JINKON),JD6207,2020,,,3
晶工(JINKON),JD6207,2021,,,3
晶工(JINKON),JD6621,2019,0.0,0.0,3
晶工(JINKON),JD6621,2020,,,3
晶工(JINKON),JD6621,2021,,,3
晶工(JINKON),JD6716,2019,1200.0,940.0,3
晶工(JINKON),JD6716,2020,,,3
晶工(JINKON),JD6716,2021,,,3
晶工(JINKON),JD8302,2019,,,2
晶工(JINKON),JD8302,2020,,,2
晶工(JINKON),JD8302,2021,,,2
晶工(JINKON),JD8302,2019,1379.0,1528.0,2
晶工(JINKON),JD8302,2020,,,2
晶工(JINKON),JD8302,2021,,,2
晶工(JINKON),JD6725,2019,,,3
晶工(JINKON),JD6725,2020,,,3
晶工(JINKON),JD6725,2021,,,3
晶工(JINKON),JD6716,2019,,,3
晶工(JINKON),JD6716,2020,,,3
晶工(JINKON),JD6716,2021,,,3
晶工(JINKON),JD6719,2019,,,3
晶工(JINKON),JD6719,2020,,,3
晶工(JINKON),JD6719,2021,,,3
晶工(JINKON),JD6209,2019,,,3
晶工(JINKON),JD6209,2020,,,3
晶工(JINKON),JD6209,2021,,,3
晶工(JINKON),JD6727,2019,,,3
晶工(JINKON),JD6727,2020,,,3
晶工(JINKON),JD6727,2021,,,3
晶工(JINKON),JD6728,2019,,,3
晶工(JINKON),JD6728,2020,,,3
晶工(JINKON),JD6728,2021,,,3
晶工(JINKON),JD6609,2019,,,3
晶工(JINKON),JD6609,2020,,,3
晶工(JINKON),JD6609,2021,,,3
元山,YS9980DWIE,2019,1543.0,2257.0,2
元山,YS9980DWIE,2020,,,2
元山,YS9980DWIE,2021,,,2
元山,YS9990DWIE,2019,,,1
元山,YS9990DWIE,2020,,,1
元山,YS9990DWIE,2021,,,1
東龍,TE153A,2019,0.0,0.0,4
東龍,TE153A,2020,,,4
東龍,TE153A,2021,,,4
晶工(JINKON),JD8302,2019,,,2
晶工(JINKON),JD8302,2020,,,2
晶工(JINKON),JD8302,2021,,,2
晶工(JINKON),JD6719,2019,,,3
晶工(JINKON),JD6719,2020,,,3
晶工(JINKON),JD6719,2021,,,3
晶工(JINKON),JD6209,2019,,,3
晶工(JINKON),JD6209,2020,,,3
晶工(JINKON),JD6209,2021,,,3
晶工(JINKON),JD6727,2019,,,3
晶工(JINKON),JD6727,2020,,,3
晶工(JINKON),JD6727,2021,,,3
晶工(JINKON),JD6728,2019,,,3
晶工(JINKON),JD6728,2020,,,3
